Individual Reference,First Name,Last Name,Father First Name,Father Last Name,Mother First Name,Year of Birth,Document Type,Document ID,Organization,Category,Currency,Amount,Start (yyyyMMdd),End (yyyyMMdd)
5459867000000000059749,هايل,عجرمة (العجارمة),رائد,صيداوي,اعتماد,1994,LOCAL_COUNCIL_CARD,3702448519.0,ORG1,CASH-MPA,USD,92897,20240401,20240701
385914605184,جدير,تميم,رائد,صيداوي,اعتماد,1982,LOCAL_COUNCIL_CARD_@,328519427555.0,ORG1,CASH-MPA,USD,98492,20240401,20240701
173862970901,ناجح,حاشد,رائد,صيداوي,اعتماد,1975,PERSONAL_ID,566777442586.0,ORG1,CASH-MPA,USD,97661,20240401,20240701
545986759749,ميار,الحداء,رائد,صيداوي,اعتماد,1978,PERSONAL_ID,544743529433.0,ORG1,CASH-MPA,USD,85284,20240401,20240701
565522169020,طيّب,قحطان,رائد,صيداوي,اعتماد,2002,LOCAL_COUNCIL_CARD,715616143121.0,ORG1,CASH-MPA,USD,58872,20240401,20240701
598932087410,هلال,البخاري,مهنّد,بارق,جالا,1977,PERSONAL_ID,684748761566.0,ORG1,CASH-MPA,USD,93273,20240401,20240701
980992916979,روبين,بنو الحارث بن كعب,مهنّد,بارق,جالا,2006,LOCAL_COUNCIL_CARD,326761296326.0,ORG1,CASH-MPA,USD,50110,20240401,20240701
439209350958,عدوي,إياد,مهنّد,بارق,جالا,1979,NATIONAL_ID,704779968243.0,ORG1,CASH-MPA,USD,76633,20240401,20240701
833074092693,غزوان,الحواش,مهنّد,بارق,جالا,1981,LOCAL_COUNCIL_CARD,867570160444.0,ORG1,CASH-MPA,USD,84279,20240401,20240701
896857677336,فرزدق,الطحان,مهنّد,بارق,جالا,2009,NATIONAL_ID,121080246401.0,ORG1,CASH-MPA,USD,61316,20240401,20240701
334830768422,مُرضي,الساحلي,مهنّد,بارق,جالا,1982,NATIONAL_ID,123884779683.0,ORG1,CASH-MPA,USD,22186,20240401,20240701
913389843283,ريف,بنو عبس,حمود,حجازي,زهرة,2012,LOCAL_COUNCIL_CARD,812484441442.0,ORG1,CASH-MPA,USD,80506,20240401,20240701
482666990409,معن,قضاعة,حمود,حجازي,زهرة,2003,,,ORG1,CASH-MPA,USD,90376,20240401,20240701
611397989583,مريم,الامام,وحيد,بلي,جهراء,2013,NATIONAL_ID,137799489409.0,ORG1,CASH-MPA,USD,19336,20240401,20240701
559758294795,صارم,كهلان,وحيد,بلي,جهراء,2012,PERSONAL_ID,10012224717.0,ORG1,CASH-MPA,USD,64040,20240401,20240701
602674329914,خضر,بنو أسد,يعقوب,الأشراف,جمان,1999,PERSONAL_ID,86087381131.0,ORG1,CASH-MPA,USD,35484,20240401,20240701
509477674336,هايدي,طرابلسي,يعقوب,الأشراف,جمان,2011,PERSONAL_ID,319741345555.0,ORG1,CASH-MPA,USD,44720,20240401,20240701
231839411891,عبد الرّشيد,السروري,يعقوب,الأشراف,جمان,2006,NATIONAL_ID,9507864851.0,ORG1,CASH-MPA,USD,40976,20240401,20240701
533241589043,طبّاع,الخلفاوي,عبد الحقّ,فراهيد,تمام,2005,LOCAL_COUNCIL_CARD,554942987108.0,ORG1,CASH-MPA,USD,22544,20240401,20240701
729833109272,ريّان,بنو هاشم,عبد الحقّ,فراهيد,تمام,2002,NATIONAL_ID,928207153774.0,ORG1,CASH-MPA,USD,35040,20240401,20240701
766874700771,رشاد,جرهم,عبد الحقّ,فراهيد,تمام,2017,NATIONAL_ID,60131218526.0,ORG1,CASH-MPA,USD,52865,20240401,20240701
657294103302,قيس,السادة,عبد الحقّ,فراهيد,تمام,1975,PERSONAL_ID,218023323778.0,ORG1,CASH-MPA,USD,87750,20240401,20240701
109935558816,نغم,الخطيب بني جماعة الكناني,عاطف,بنو عجل,أسرار,1993,,,ORG1,CASH-MPA,USD,76663,20240401,20240701
639085669975,غانم,السادة,عاطف,بنو عجل,أسرار,1998,PERSONAL_ID,844457559562.0,ORG1,CASH-MPA,USD,30848,20240401,20240701
930135592288,فرج,سموم,عاطف,بنو عجل,أسرار,1980,LOCAL_COUNCIL_CARD,103358185542.0,ORG1,CASH-MPA,USD,29882,20240401,20240701
132808757518,مطاوع,كهلان,عاطف,بنو عجل,أسرار,2020,LOCAL_COUNCIL_CARD,809831578954.0,ORG1,CASH-MPA,USD,76651,20240401,20240701
342856628021,جود,جعفر,عاطف,بنو عجل,أسرار,2014,LOCAL_COUNCIL_CARD,27052649218.0,ORG1,CASH-MPA,USD,46410,20240401,20240701
939146016463,مُسعف,مضر,مأمون,العسلي,ليم,1976,,,ORG1,CASH-MPA,USD,20041,20240401,20240701
919895443480,بشرى,المنتفق,مأمون,العسلي,ليم,1999,NATIONAL_ID,152371701694.0,ORG1,CASH-MPA,USD,13005,20240401,20240701
504002552134,زهرة,كنانة,مأمون,العسلي,ليم,2013,PERSONAL_ID,220150177937.0,ORG1,CASH-MPA,USD,66393,20240401,20240701
861280924691,لينا,حميضة,مأمون,العسلي,ليم,2013,NATIONAL_ID,389497350175.0,ORG1,CASH-MPA,USD,36004,20240401,20240701
477628108231,سفير,عليان,جاد,بنو الأحمر بن الحارث,بنفسج,1975,,,ORG1,CASH-MPA,USD,66110,20240401,20240701
333690500499,عبد الخالق,بنو ياس,جاد,بنو الأحمر بن الحارث,بنفسج,2018,,,ORG1,CASH-MPA,USD,5903,20240401,20240701
693081689625,مدحت,تغلب بن وائل,جاد,بنو الأحمر بن الحارث,بنفسج,2018,NATIONAL_ID,41303946318.0,ORG1,CASH-MPA,USD,69868,20240401,20240701
533546375392,نوره,جهينة,خالد,عبد القيس,غوى,2003,,,ORG1,CASH-MPA,USD,24950,20240401,20240701
181429634202,منصور,خزاعة,خالد,عبد القيس,غوى,2012,NATIONAL_ID,283351375662.0,ORG1,CASH-MPA,USD,52149,20240401,20240701
260466966859,قائد,عنس,خالد,عبد القيس,غوى,1977,LOCAL_COUNCIL_CARD,52742055432.0,ORG1,CASH-MPA,USD,99249,20240401,20240701
539932091636,حلا,نسيبة,صعب,عاملة,سلسبيل,1977,LOCAL_COUNCIL_CARD,677285570408.0,ORG1,CASH-MPA,USD,47285,20240401,20240701
942823926827,وفاء,الزماميري,صعب,عاملة,سلسبيل,2019,NATIONAL_ID,790071524357.0,ORG1,CASH-MPA,USD,96840,20240401,20240701
132288159645,لوجين,مشعشع,صعب,عاملة,سلسبيل,1972,NATIONAL_ID,319588266328.0,ORG1,CASH-MPA,USD,67754,20240401,20240701
