USCADI,Organization,Category,Currency,Amount,Start (yyyyMMdd),End (yyyyMMdd),Document Hash
N7N5WBYOD2RAGIM7M2BZYQUCOYS7A4RR2ZECXEG3VT2RPLOY3ECA====,ORG1,CASH-MPA,USD,92897,20240401,20240701,CKI3RLRDSZUBE7WSPHSRSD5H3BU3WOQVK6G7LM7FNPARLBSNI3CA====
RKBEZPLNYZXXE4WJJDATBSTFXLUOVDI3COS2GVN5UKWI3LY42ITA====,ORG1,CASH-MPA,USD,98492,20240401,20240701,RTS6M5UUO43VOQXRIPYSNVDYPD32NID4EZUPESNY4Z2DAVUEXLLA====
A76CFCPWNCVCHYSFBELOTEVGSC2CBGSJTYJYHW3RWZNMDSBMU55A====,ORG1,CASH-MPA,USD,97661,20240401,20240701,J3J454W32E3EONPSM574V3SGS6WO5DSUSUY3YT4FFQRCYGISOCNQ====
QKNMMD2ONP7XDYW56F2L2STSOJKCDEQICFCEDAHEVZQ5LNE7R5EA====,ORG1,CASH-MPA,USD,85284,20240401,20240701,WVI7OMZBFYHDA4JQYGNL6C6VE656WC4O5HK6XTVPPAAL5COGVMMQ====
WWC2MVOGDFF7H6HL5QLTBYRU2T6EOPVMUHCQWKW7Z436HYV2VHCQ====,ORG1,CASH-MPA,USD,58872,20240401,20240701,DU2QLHNLZKHMQIGPITSGHOMZ6BMAFSQZBGOASELFVOL63WJ4NTMA====
DZLPQQSSVAWPLB56WB6VOOEE4FRFF3NZYTQZYY4PRZP3RC2LBJ2A====,ORG1,CASH-MPA,USD,93273,20240401,20240701,XXFUDQJPQ2AMUYDXH5UJ4JG2CT76ZPOITLOYVLEHXO4Y5A7HZYZQ====
23PR52W3TADBJVO3CTRFJDPUAEDNPTJ534KSPRKTZOMFIEWV2UCA====,ORG1,CASH-MPA,USD,50110,20240401,20240701,RNJ7EC4P56FSLMUVNSY5IJXZDN6P2PNMAXO4FT3SOS6N7VQIO7NA====
CIORBZR7LOLBUHSIQC7BU6HJT6REJVSW4PN4RQ7PDELX7KHAFHXQ====,ORG1,CASH-MPA,USD,76633,20240401,20240701,6PNSRTAM32T7N6CX43B2NKJ4PDCLGL6D2JRHICQI2AN6FQ3HEPIQ====
W2FFFKN7YVJ6SMV2XU7LSHWRDZ5VKTX6YJKWZSGRL2MKHAQIECFA====,ORG1,CASH-MPA,USD,84279,20240401,20240701,6ZSTTSXWAJ6AKS564TBHGUMRFFBCVZXC7LJCARBMJBBSJ7767LZQ====
UTRTXTL7CX33VKVQQGB5UMYERVMXHNKJYVM4ZCRC5PRUPORGBHPQ====,ORG1,CASH-MPA,USD,61316,20240401,20240701,SI3D3NA2G7LIZERIEELF6NGAR3FJTVBZ5JFF5VDZK7HHLW5YFYHA====
GZ2RU2X6YJHQ3DETYUWOZZP5NPMBEF7ZOX7BYMI2ZASIUOWKHW3A====,ORG1,CASH-MPA,USD,22186,20240401,20240701,B75TKLNWX2XCRWHQZOXJZULYA3ELKQBYLVAZPACZGSCQSE3U4AUA====
AOTMN7TKB6N7W2YNOOLU7KZL5TDENNUUDR2T4I5PH4K7IOT2R6BA====,ORG1,CASH-MPA,USD,80506,20240401,20240701,AMWYJLYRVMLLQST4CN5JXYMTBH2NPH2HKTRPD7SFDHIJZCISFXUQ====
